source,class,candidate_files,resolved
system/libs/ProjectLibrary/Entity/User.class.php,ProjectLibrary_SDO_Core_Application_FileManagement,system/libs/ProjectLibrary/SDO/Core/Application/FileManagement.class.php,True
system/libs/ProjectLibrary/Entity/User.class.php,ProjectLibrary_Entity,system/libs/ProjectLibrary/Entity.class.php,True
system/libs/ProjectLibrary/Entity/Search/Result.class.php,ProjectLibrary_Entity_Search,system/libs/ProjectLibrary/Entity/Search.class.php,True
system/libs/ProjectLibrary/Entity/Search/Result/Categorias.class.php,ProjectLibrary_Entity_Search_Result,system/libs/ProjectLibrary/Entity/Search/Result.class.php,True
system/libs/ProjectLibrary/Entity/Search/Result/fileManagment.class.php,ProjectLibrary_Entity_Search_Result,system/libs/ProjectLibrary/Entity/Search/Result.class.php,True
system/libs/ProjectLibrary/Entity/Search/Result/Marcas.class.php,ProjectLibrary_Entity_Search_Result,system/libs/ProjectLibrary/Entity/Search/Result.class.php,True
system/libs/ProjectLibrary/Entity/Search/Result/Productos.class.php,ProjectLibrary_Entity_Search_Result,system/libs/ProjectLibrary/Entity/Search/Result.class.php,True
system/libs/ProjectLibrary/Entity/Search/Result/User.class.php,ProjectLibrary_Entity_Search_Result,system/libs/ProjectLibrary/Entity/Search/Result.class.php,True
system/libs/ProjectLibrary/Entity/Util/CategoriasArray.class.php,ArrayObject,,False
system/libs/ProjectLibrary/Entity/Util/CategoriasIterator.class.php,ArrayIterator,,False
system/libs/ProjectLibrary/Entity/Util/File.class.php,ProjectLibrary_SDO_Core_Application_FileManagement,system/libs/ProjectLibrary/SDO/Core/Application/FileManagement.class.php,True
system/libs/ProjectLibrary/Entity/Util/File.class.php,Util_String,system/libs/CoreLibrary/Util/String.class.php,True
system/libs/ProjectLibrary/Entity/Util/File.class.php,ProjectLibrary_Entity,system/libs/ProjectLibrary/Entity.class.php,True
system/libs/ProjectLibrary/Entity/Util/fileManagmentArray.class.php,ArrayObject,,False
system/libs/ProjectLibrary/Entity/Util/fileManagmentIterator.class.php,ArrayIterator,,False
system/libs/ProjectLibrary/Entity/Util/FileUpload.class.php,Exception,PHPMailer/src/Exception.php,True
system/libs/ProjectLibrary/Entity/Util/FileUpload.class.php,ProjectLibrary_Entity,system/libs/ProjectLibrary/Entity.class.php,True
system/libs/ProjectLibrary/Entity/Util/MarcasArray.class.php,ArrayObject,,False
system/libs/ProjectLibrary/Entity/Util/MarcasIterator.class.php,ArrayIterator,,False
system/libs/ProjectLibrary/Entity/Util/ProductosArray.class.php,ArrayObject,,False
system/libs/ProjectLibrary/Entity/Util/ProductosIterator.class.php,ArrayIterator,,False
system/libs/ProjectLibrary/Entity/Util/UserArray.class.php,ArrayObject,,False
system/libs/ProjectLibrary/Entity/Util/UserIterator.class.php,ArrayIterator,,False
system/libs/ProjectLibrary/FrontEnd/BO.class.php,ProjectLibrary_FrontEnd_BO_Authentification,system/libs/ProjectLibrary/FrontEnd/BO/Authentification.class.php,True
system/libs/ProjectLibrary/FrontEnd/BO.class.php,ProjectLibrary_SDO_Core_Application_LanguageManager,system/libs/ProjectLibrary/SDO/Core/Application/LanguageManager.class.php,True
system/libs/ProjectLibrary/FrontEnd/BO.class.php,Application,system/libs/CoreLibrary/Application.class.php,True
system/libs/ProjectLibrary/FrontEnd/BO.class.php,ProjectLibrary_Savant,system/libs/ProjectLibrary/Savant.class.php | system/libs/ProjectLibrary/Savant_php2.class.php,True
system/libs/ProjectLibrary/FrontEnd/BO.class.php,ProjectLibrary_Security_BO_PermissionStrategy,,False
system/libs/ProjectLibrary/FrontEnd/BO.class.php,Savant3,system/libs/PEAR/Savant3.php,True
system/libs/ProjectLibrary/FrontEnd/FO.class.php,ProjectLibrary_SDO_Core_Application_LanguageManager,system/libs/ProjectLibrary/SDO/Core/Application/LanguageManager.class.php,True
system/libs/ProjectLibrary/FrontEnd/FO.class.php,ProjectLibrary_SDO_Evento,,False
system/libs/ProjectLibrary/FrontEnd/FO.class.php,ProjectLibrary_SDO_Fotogaleria,,False
system/libs/ProjectLibrary/FrontEnd/FO.class.php,ProjectLibrary_SDO_Noticia,,False
system/libs/ProjectLibrary/FrontEnd/FO.class.php,Application,system/libs/CoreLibrary/Application.class.php,True
system/libs/ProjectLibrary/FrontEnd/FO.class.php,ProjectLibrary_Savant,system/libs/ProjectLibrary/Savant.class.php | system/libs/ProjectLibrary/Savant_php2.class.php,True
system/libs/ProjectLibrary/FrontEnd/FO.class.php,ProjectLibrary_Security_FO_PermissionStrategy,,False
system/libs/ProjectLibrary/FrontEnd/FO.class.php,Savant3,system/libs/PEAR/Savant3.php,True
system/libs/ProjectLibrary/FrontEnd/BO/Authentification.class.php,ProjectLibrary_FrontEnd_BO_Authentification,system/libs/ProjectLibrary/FrontEnd/BO/Authentification.class.php,True
system/libs/ProjectLibrary/FrontEnd/BO/Authentification.class.php,ProjectLibrary_FrontEnd_Util_Session,system/libs/ProjectLibrary/FrontEnd/Util/Session.class.php,True
system/libs/ProjectLibrary/FrontEnd/BO/Authentification.class.php,ProjectLibrary_FrontEnd_Util_UserSession,system/libs/ProjectLibrary/FrontEnd/Util/UserSession.class.php,True
system/libs/ProjectLibrary/FrontEnd/BO/Authentification.class.php,ProjectLibrary_SDO_Core_Application_Security_Exception,system/libs/ProjectLibrary/SDO/Core/Application/Security/Exception.class.php,True
system/libs/ProjectLibrary/FrontEnd/BO/Authentification.class.php,ProjectLibrary_SDO_Security,system/libs/ProjectLibrary/SDO/Security.class.php,True
system/libs/ProjectLibrary/FrontEnd/BO/Authentification.class.php,ProjectLibrary_SDO_User,system/libs/ProjectLibrary/SDO/User.class.php,True
system/libs/ProjectLibrary/FrontEnd/BO/Authentification.class.php,ProjectLibrary_Entity_User,system/libs/ProjectLibrary/Entity/User.class.php,True
system/libs/ProjectLibrary/FrontEnd/BO/Authentification.class.php,ProjectLibrary_FrontEnd_BO,system/libs/ProjectLibrary/FrontEnd/BO.class.php,True
system/libs/ProjectLibrary/FrontEnd/BO/Categorias.class.php,ProjectLibrary_SDO_Categorias,system/libs/ProjectLibrary/SDO/Categorias.class.php,True
system/libs/ProjectLibrary/FrontEnd/BO/Categorias.class.php,ProjectLibrary_SDO_Core_Application_Categorias,system/libs/ProjectLibrary/SDO/Core/Application/Categorias.class.php,True
system/libs/ProjectLibrary/FrontEnd/BO/Categorias.class.php,ProjectLibrary_SDO_ImageHandler,system/libs/ProjectLibrary/SDO/ImageHandler.class.php,True
system/libs/ProjectLibrary/FrontEnd/BO/Categorias.class.php,Exception,PHPMailer/src/Exception.php,True
system/libs/ProjectLibrary/FrontEnd/BO/Categorias.class.php,ProjectLibrary_Entity_Categorias,system/libs/ProjectLibrary/Entity/Categorias.class.php,True
system/libs/ProjectLibrary/FrontEnd/BO/Categorias.class.php,ProjectLibrary_Entity_Search,system/libs/ProjectLibrary/Entity/Search.class.php,True
system/libs/ProjectLibrary/FrontEnd/BO/Categorias.class.php,ProjectLibrary_FrontEnd_BO,system/libs/ProjectLibrary/FrontEnd/BO.class.php,True
system/libs/ProjectLibrary/FrontEnd/BO/Categorias.class.php,Validator_ErrorHandler,system/libs/CoreLibrary/Validator/ErrorHandler.class.php,True
system/libs/ProjectLibrary/FrontEnd/BO/Marcas.class.php,ProjectLibrary_SDO_Categorias,system/libs/ProjectLibrary/SDO/Categorias.class.php,True
system/libs/ProjectLibrary/FrontEnd/BO/Marcas.class.php,ProjectLibrary_SDO_ImageHandler,system/libs/ProjectLibrary/SDO/ImageHandler.class.php,True
system/libs/ProjectLibrary/FrontEnd/BO/Marcas.class.php,ProjectLibrary_SDO_Marcas,system/libs/ProjectLibrary/SDO/Marcas.class.php,True
system/libs/ProjectLibrary/FrontEnd/BO/Marcas.class.php,Exception,PHPMailer/src/Exception.php,True
system/libs/ProjectLibrary/FrontEnd/BO/Marcas.class.php,ProjectLibrary_Entity_Marcas,system/libs/ProjectLibrary/Entity/Marcas.class.php,True
system/libs/ProjectLibrary/FrontEnd/BO/Marcas.class.php,ProjectLibrary_Entity_Search,system/libs/ProjectLibrary/Entity/Search.class.php,True
system/libs/ProjectLibrary/FrontEnd/BO/Marcas.class.php,ProjectLibrary_FrontEnd_BO,system/libs/ProjectLibrary/FrontEnd/BO.class.php,True
system/libs/ProjectLibrary/FrontEnd/BO/Marcas.class.php,Validator_ErrorHandler,system/libs/CoreLibrary/Validator/ErrorHandler.class.php,True
system/libs/ProjectLibrary/FrontEnd/BO/Productos.class.php,ProjectLibrary_FrontEnd_BO_Authentification,system/libs/ProjectLibrary/FrontEnd/BO/Authentification.class.php,True
