id,original_id,path,type,version,exists,access_type,expected_path,located_paths
51,48,multimedia/imagenes/categorias/9a569da63e3a813779fc89cab5bace690d727013.jpg,image/jpeg,large,True,public,multimedia/imagenes/categorias/9a569da63e3a813779fc89cab5bace690d727013.jpg,multimedia/imagenes/categorias/9a569da63e3a813779fc89cab5bace690d727013.jpg
52,,system/files/images/categorias/cbc5bbf8df505223c1069122842fed702f8be8d8,image/jpeg,original,True,public,system/files/images/categorias/cbc5bbf8df505223c1069122842fed702f8be8d8,system/files/images/categorias/cbc5bbf8df505223c1069122842fed702f8be8d8 | system/files/images/productos/cbc5bbf8df505223c1069122842fed702f8be8d8
53,52,multimedia/imagenes/categorias/92f0a121e30874685886bc84d73b8a0095a12d51.jpg,image/jpeg,small,True,public,multimedia/imagenes/categorias/92f0a121e30874685886bc84d73b8a0095a12d51.jpg,multimedia/imagenes/categorias/92f0a121e30874685886bc84d73b8a0095a12d51.jpg | multimedia/imagenes/productos/92f0a121e30874685886bc84d73b8a0095a12d51.jpg
54,52,multimedia/imagenes/categorias/e0735c5d3fa243e3b3a3508b05c171ad43c482a0.jpg,image/jpeg,medium,True,public,multimedia/imagenes/categorias/e0735c5d3fa243e3b3a3508b05c171ad43c482a0.jpg,multimedia/imagenes/categorias/e0735c5d3fa243e3b3a3508b05c171ad43c482a0.jpg | multimedia/imagenes/productos/e0735c5d3fa243e3b3a3508b05c171ad43c482a0.jpg
55,52,multimedia/imagenes/categorias/9989990198bbae12dadf41624629613e330c4a4e.jpg,image/jpeg,large,True,public,multimedia/imagenes/categorias/9989990198bbae12dadf41624629613e330c4a4e.jpg,multimedia/imagenes/categorias/9989990198bbae12dadf41624629613e330c4a4e.jpg | multimedia/imagenes/productos/9989990198bbae12dadf41624629613e330c4a4e.jpg
56,,system/files/images/categorias/c46d19fe3eb462f51d4f636a3a4719ea6e8922c5,image/jpeg,original,True,public,system/files/images/categorias/c46d19fe3eb462f51d4f636a3a4719ea6e8922c5,system/files/images/categorias/c46d19fe3eb462f51d4f636a3a4719ea6e8922c5 | system/files/images/productos/c46d19fe3eb462f51d4f636a3a4719ea6e8922c5
57,56,multimedia/imagenes/categorias/cabf3ce04f2934cf3dc33b386f7936919c1e9369.jpg,image/jpeg,small,True,public,multimedia/imagenes/categorias/cabf3ce04f2934cf3dc33b386f7936919c1e9369.jpg,multimedia/imagenes/categorias/cabf3ce04f2934cf3dc33b386f7936919c1e9369.jpg | multimedia/imagenes/productos/cabf3ce04f2934cf3dc33b386f7936919c1e9369.jpg
58,56,multimedia/imagenes/categorias/cd72ab26741874ce0f7e1436cdbdb6940f05bc64.jpg,image/jpeg,medium,True,public,multimedia/imagenes/categorias/cd72ab26741874ce0f7e1436cdbdb6940f05bc64.jpg,multimedia/imagenes/categorias/cd72ab26741874ce0f7e1436cdbdb6940f05bc64.jpg | multimedia/imagenes/productos/cd72ab26741874ce0f7e1436cdbdb6940f05bc64.jpg
59,56,multimedia/imagenes/categorias/b9267d54f7219a984975ba83c28f39687b7165c6.jpg,image/jpeg,large,True,public,multimedia/imagenes/categorias/b9267d54f7219a984975ba83c28f39687b7165c6.jpg,multimedia/imagenes/categorias/b9267d54f7219a984975ba83c28f39687b7165c6.jpg | multimedia/imagenes/productos/b9267d54f7219a984975ba83c28f39687b7165c6.jpg
60,,system/files/images/categorias/dea67750c58a9beeb1e4bf0140e4b97863635cfa,image/jpeg,original,True,public,system/files/images/categorias/dea67750c58a9beeb1e4bf0140e4b97863635cfa,system/files/images/categorias/dea67750c58a9beeb1e4bf0140e4b97863635cfa | system/files/images/productos/dea67750c58a9beeb1e4bf0140e4b97863635cfa
61,60,multimedia/imagenes/categorias/8c12a4fa46746e8273fa31b0446dc58c4e45f9ab.jpg,image/jpeg,small,True,public,multimedia/imagenes/categorias/8c12a4fa46746e8273fa31b0446dc58c4e45f9ab.jpg,multimedia/imagenes/categorias/8c12a4fa46746e8273fa31b0446dc58c4e45f9ab.jpg | multimedia/imagenes/productos/8c12a4fa46746e8273fa31b0446dc58c4e45f9ab.jpg
62,60,multimedia/imagenes/categorias/0edf5e776fb7c7d5fb15c1a67320df1dbaaa07fd.jpg,image/jpeg,medium,True,public,multimedia/imagenes/categorias/0edf5e776fb7c7d5fb15c1a67320df1dbaaa07fd.jpg,multimedia/imagenes/categorias/0edf5e776fb7c7d5fb15c1a67320df1dbaaa07fd.jpg | multimedia/imagenes/productos/0edf5e776fb7c7d5fb15c1a67320df1dbaaa07fd.jpg
63,60,multimedia/imagenes/categorias/9f2f4d7601bb79d991cf17d788513fe458d891d3.jpg,image/jpeg,large,True,public,multimedia/imagenes/categorias/9f2f4d7601bb79d991cf17d788513fe458d891d3.jpg,multimedia/imagenes/categorias/9f2f4d7601bb79d991cf17d788513fe458d891d3.jpg | multimedia/imagenes/productos/9f2f4d7601bb79d991cf17d788513fe458d891d3.jpg
